#    	x	    f(x)	         f'(x)	    f'(x) 	   f''(x)	    f''(x)
#    	 	         	       analytical    finite    analytical    finite
    -5.000	   890.479	 -1038.892	 -1037.630	  1187.305	  1187.134
    -4.998	   888.404	 -1036.520	 -1035.262	  1184.637	  1184.466
    -4.996	   886.333	 -1034.154	 -1032.898	  1181.975	  1181.804
    -4.994	   884.267	 -1031.793	 -1030.540	  1179.318	  1179.148
    -4.992	   882.206	 -1029.437	 -1028.187	  1176.668	  1176.497
    -4.990	   880.150	 -1027.086	 -1025.839	  1174.023	  1173.853
    -4.988	   878.098	 -1024.741	 -1023.497	  1171.384	  1171.215
    -4.986	   876.051	 -1022.401	 -1021.159	  1168.751	  1168.582
    -4.984	   874.009	 -1020.067	 -1018.827	  1166.124	  1165.955
    -4.982	   871.971	 -1017.737	 -1016.501	  1163.503	  1163.335
    -4.980	   869.938	 -1015.413	 -1014.179	  1160.887	  1160.719
    -4.978	   867.910	 -1013.094	 -1011.863	  1158.278	  1158.110
    -4.976	   865.886	 -1010.780	 -1009.552	  1155.674	  1155.507
    -4.974	   863.867	 -1008.471	 -1007.246	  1153.076	  1152.909
    -4.972	   861.853	 -1006.168	 -1004.946	  1150.484	  1150.317
    -4.970	   859.843	 -1003.870	 -1002.650	  1147.897	  1147.731
    -4.968	   857.837	 -1001.577	 -1000.360	  1145.316	  1145.151
    -4.966	   855.837	  -999.289	  -998.075	  1142.741	  1142.576
    -4.964	   853.841	  -997.006	  -995.795	  1140.172	  1140.007
    -4.962	   851.849	  -994.729	  -993.520	  1137.608	  1137.444
    -4.960	   849.862	  -992.456	  -991.250	  1135.050	  1134.886
    -4.958	   847.879	  -990.189	  -988.985	  1132.498	  1132.334
    -4.956	   845.901	  -987.926	  -986.726	  1129.951	  1129.788
    -4.954	   843.928	  -985.669	  -984.471	  1127.411	  1127.247
    -4.952	   841.959	  -983.417	  -982.222	  1124.875	  1124.713
    -4.950	   839.995	  -981.170	  -979.978	  1122.346	  1122.183
    -4.948	   838.035	  -978.928	  -977.738	  1119.822	  1119.660
    -4.946	   836.079	  -976.691	  -975.504	  1117.303	  1117.141
    -4.944	   834.128	  -974.459	  -973.275	  1114.790	  1114.629
    -4.942	   832.182	  -972.232	  -971.050	  1112.283	  1112.122
    -4.940	   830.240	  -970.010	  -968.831	  1109.781	  1109.621
    -4.938	   828.302	  -967.793	  -966.617	  1107.285	  1107.125
    -4.936	   826.369	  -965.582	  -964.408	  1104.794	  1104.635
    -4.934	   824.440	  -963.375	  -962.203	  1102.309	  1102.150
    -4.932	   822.515	  -961.173	  -960.004	  1099.830	  1099.671
